id,created_at,symbol,side,quantity,fill_price,strategy,confidence,exit_reason,pnl
1377,2026-06-19 06:33:50,BEAT/USDT,buy,0.58511835,2.13632,evo_allocator_rescue,0.95,,0
1378,2026-06-19 06:33:50,BEAT/USDT,sell,0.58511835,2.13632,sideways_stagnation_exit,1,sideways_stagnation_exit,0
1379,2026-06-19 06:34:05,GENIUS/USDT,buy,4.943244,0.4045926,evo_4606,0.9,,0
1380,2026-06-19 06:34:22,BSB/USDT,buy,2.964544,0.42165,evo_4606,0.95,,0
1381,2026-06-19 06:34:22,GENIUS/USDT,sell,4.943244,0.40435,sideways_stagnation_exit,1,sideways_stagnation_exit,-0.001199231
1382,2026-06-19 06:34:23,BSB/USDT,sell,2.964544,0.42165,sideways_stagnation_exit,1,sideways_stagnation_exit,0
1383,2026-06-19 06:34:41,BSB/USDT,buy,2.9530582,0.42329,evo_allocator_rescue,0.95,,0
1384,2026-06-19 06:35:31,BEAT/USDT,buy,0.5819855,2.14782,evo_allocator_rescue,0.95,,0
1385,2026-06-19 06:35:31,BEAT/USDT,sell,0.5819854,2.14782,sideways_stagnation_exit,1,sideways_stagnation_exit,0.0033553785
1386,2026-06-19 06:36:05,BEAT/USDT,buy,0.5845683,2.13833,evo_allocator_rescue,0.95,,0
1387,2026-06-19 06:36:05,BSB/USDT,sell,2.9530582,0.42192,sideways_stagnation_exit,1,sideways_stagnation_exit,-0.0016194573
1388,2026-06-19 06:36:24,BSB/USDT,buy,2.950549,0.42365,evo_allocator_rescue,0.95,,0
1389,2026-06-19 06:36:41,TRIA/USDT,buy,46.93954,0.02663,evo_allocator_rescue,0.95,,0
1390,2026-06-19 06:36:41,TRIA/USDT,sell,46.93954,0.02663,sideways_stagnation_exit,1,sideways_stagnation_exit,1.4081861e-07
1391,2026-06-19 06:36:59,TRIA/USDT,buy,46.86914,0.02667,evo_allocator_rescue,0.95,,0
1392,2026-06-19 06:37:16,BEAT/USDT,sell,0.58456826,2.14166,sideways_stagnation_exit,1,sideways_stagnation_exit,0.0004958893
1393,2026-06-19 06:37:49,BSB/USDT,sell,2.950549,0.42277,sideways_stagnation_exit,1,sideways_stagnation_exit,-0.00027003424
1394,2026-06-19 06:38:22,TRIA/USDT,sell,46.86914,0.02665,sideways_stagnation_exit,1,sideways_stagnation_exit,7.499063e-07
1395,2026-06-19 06:39:27,BSB/USDT,buy,2.9481132,0.424,evo_allocator_rescue,0.95,,0
1396,2026-06-19 06:39:27,BSB/USDT,sell,2.9481132,0.424,sideways_stagnation_exit,1,sideways_stagnation_exit,0.0025189861
1397,2026-06-19 06:39:44,IN/USDT,buy,17.887808,0.06988,evo_allocator_rescue,0.8027719,,0
1398,2026-06-19 06:39:44,IN/USDT,sell,17.887808,0.06988,sideways_stagnation_exit,1,sideways_stagnation_exit,0
1399,2026-06-19 06:40:01,TRIA/USDT,buy,46.74645,0.02674,evo_allocator_rescue,0.8578732,,0
1400,2026-06-19 06:40:01,TRIA/USDT,sell,46.746445,0.02674,sideways_stagnation_exit,1,sideways_stagnation_exit,0.002808433
1401,2026-06-19 06:40:19,TRIA/USDT,buy,46.69406,0.02677,evo_allocator_rescue,0.8388637,,0
1402,2026-06-19 06:40:51,IN/USDT,buy,17.849493,0.07003,evo_allocator_rescue,0.913846,,0
1403,2026-06-19 06:41:07,GUA/USDT,buy,1.2856379,0.97228,evo_allocator_rescue,0.95,,0
1404,2026-06-19 06:41:07,GUA/USDT,sell,1.2856379,0.97228,sideways_stagnation_exit,1,sideways_stagnation_exit,0
1405,2026-06-19 06:41:25,GUA/USDT,buy,1.2798853,0.97665,evo_allocator_rescue,0.95,,0
1406,2026-06-19 06:41:25,IN/USDT,sell,17.849493,0.07003,sideways_stagnation_exit,1,sideways_stagnation_exit,0.0013401399
1407,2026-06-19 06:41:42,TRIA/USDT,sell,46.69406,0.02663,sideways_max_hold_exit,1,sideways_max_hold_exit,-0.0033799496
1408,2026-06-19 06:42:51,GUA/USDT,sell,1.2798853,0.97266,sideways_stagnation_exit,1,sideways_stagnation_exit,-0.0023039216
1409,2026-06-19 06:43:08,EDEN/USDT,buy,24.414062,0.0512,evo_allocator_rescue,0.95,,0
1410,2026-06-19 06:43:08,EDEN/USDT,sell,24.414062,0.0512,sideways_stagnation_exit,1,sideways_stagnation_exit,0
1411,2026-06-19 06:43:25,HYPE/USDT,buy,0.018469267,67.68,evo_allocator_rescue,0.85377926,,0
1412,2026-06-19 06:43:25,HYPE/USDT,sell,0.018469267,67.68,sideways_stagnation_exit,1,sideways_stagnation_exit,0
1413,2026-06-19 06:43:42,BDX/USDT,buy,15.096619,0.0828,evo_allocator_rescue,0.7962053,,0
1414,2026-06-19 06:43:42,BDX/USDT,sell,15.096619,0.0828,sideways_stagnation_exit,1,sideways_stagnation_exit,0
1415,2026-06-19 06:43:59,DASH/USDT,buy,0.035612535,35.1,evo_allocator_rescue,0.826,,0
1416,2026-06-19 06:43:59,DASH/USDT,sell,0.035612535,35.1,sideways_stagnation_exit,1,sideways_stagnation_exit,0
1417,2026-06-19 06:44:16,NEAR/USDT,buy,0.58416677,2.1398,evo_allocator_rescue,0.80531216,,0
1418,2026-06-19 06:44:16,NEAR/USDT,sell,0.58416677,2.1398,sideways_stagnation_exit,1,sideways_stagnation_exit,0
1419,2026-06-19 06:44:34,ZEC/USDT,buy,0.0027753108,450.4,evo_allocator_rescue,0.9242754,,0
1420,2026-06-19 06:44:34,ZEC/USDT,sell,0.0027753108,450.4,sideways_stagnation_exit,1,sideways_stagnation_exit,-5.5506217e-08
1421,2026-06-19 06:44:51,NEAR/USDT,buy,0.5831856,2.1434,evo_allocator_rescue,0.9016845,,0
1422,2026-06-19 06:45:07,TRIA/USDT,buy,47.205437,0.02648,evo_allocator_rescue,0.95,,0
1423,2026-06-19 06:45:07,TRIA/USDT,sell,47.20543,0.02648,sideways_stop_loss_exit,1,sideways_stop_loss_exit,-0.008384204
1424,2026-06-19 06:45:25,TRIA/USDT,buy,47.18762,0.02649,evo_allocator_rescue,0.8844873,,0
1425,2026-06-19 06:45:41,BEAT/USDT,buy,0.5974858,2.0921,evo_allocator_rescue,0.95,,0
1426,2026-06-19 06:45:41,BEAT/USDT,sell,0.5974858,2.0921,sideways_stop_loss_exit,1,sideways_stop_loss_exit,-0.021702059
