exit_reason,exits,winners,losers,avg_sell_row_pnl,total_sell_row_pnl,worst_sell_row_pnl,best_sell_row_pnl
sideways_stop_loss_exit,48,0,48,-0.0567027711,-2.7217300000,-0.1425050000,-0.0083842000
sideways_max_hold_exit,17,5,12,-0.0016090328,-0.0273536000,-0.0070890700,0.0059951100
breakeven_protection_exit,2,0,2,-0.0023349223,-0.0046698400,-0.0041878400,-0.0004820050
sideways_stagnation_exit,75,35,21,0.0004092056,0.0306904000,-0.0029556000,0.0042135400
sideways_take_profit_exit,5,5,0,0.0171367412,0.0856837000,0.0080095100,0.0332228000
